opportunity_id,account_name,opportunity_name,stage,probability_pct,amount,weighted_amount,created_date,expected_close_date,actual_close_date,age_days,lead_source,owner,product_interest,competitor,next_step,notes
OPP-000113,Company 8590,Collaborative Robot - 501,Negotiation,80,908028.8,726423.04,2025-01-28,2025-11-18,,267,Website,Jessica Martinez,Collaborative Robot,ABB Robotics,Follow up meeting,"Meeting Notes (2/15/24):
Met with Tom Chen (CTO) and Sarah Martinez (Dir. of Operations) to review technical specifications and deployment timeline. Customer confirmed requirements for 12 RBX-4000 mob"
OPP-000114,Company 5840,Collaborative Robot - 914,Qualification,20,273463.34,54692.67,2025-07-08,2025-12-04,,106,Cold Call,Chris Patel,Control Software License,None,Follow up meeting,"Sales Notes:
Met with John Chen (Plant Manager) and Sarah Rodriguez (Automation Engineer) to discuss their current quality inspection challenges. Their manual inspection process has a 12% defect escap"
OPP-000115,Company 1788,Collaborative Robot - 471,Closed Won,100,249054.02,249054.02,2024-11-01,2025-02-07,2025-02-07,355,Referral,Jessica Martinez,Vision System,KUKA,,"OPPORTUNITY NOTES:
Met with Tom Chen (CTO) and Sarah Miller (Engineering Director) to finalize the Control Software License agreement for their new automation line. Customer requires implementation ac"
OPP-000116,Company 8019,Control Software License - 676,Prospecting,10,1238531.15,123853.11,2025-06-25,2025-12-24,,119,Partner,Chris Patel,Vision System,FANUC,Follow up meeting,Prospecting stage opportunity
OPP-000117,Company 4852,Vision System - 603,Prospecting,10,554366.27,55436.63,2025-01-21,2026-01-02,,274,Website,Chris Patel,Control Software License,KUKA,Follow up meeting,"MEETING NOTES - 11/14/23
Met with John Chen (Operations Director) and Sarah Miller (Plant Manager) to discuss automation needs for their automotive parts assembly line. Currently running at 65% capaci"
OPP-000118,Company 8876,Control Software License - 536,Closed Won,100,1127929.4,1127929.4,2024-10-22,2025-04-15,2025-04-15,365,Trade Show,David Martinez,Mobile Robot Platform,FANUC,,"OPPORTUNITY NOTES:
Met with John Chen (COO) and Sarah Martinez (Plant Manager) to finalize the RX-7000 robotic system implementation across their three manufacturing lines. Client's main drivers were "
OPP-000119,Company 7091,Vision System - 194,Qualification,20,1414525.58,282905.12,2024-11-06,2025-12-11,,350,Website,Jessica Martinez,Industrial Robot System,Universal Robots,Follow up meeting,Qualification stage opportunity
OPP-000120,Company 9138,Collaborative Robot - 192,Needs Analysis,40,1743500.61,697400.24,2024-11-14,2025-12-17,,342,Trade Show,David Martinez,Collaborative Robot,KUKA,Follow up meeting,Needs Analysis stage opportunity
OPP-000121,Company 5771,Vision System - 692,Proposal,60,1878493.78,1127096.27,2025-08-23,2025-11-18,,60,Cold Call,Chris Patel,Mobile Robot Platform,FANUC,Follow up meeting,Proposal stage opportunity
OPP-000122,Company 6974,Control Software License - 916,Prospecting,10,1517022.28,151702.23,2025-04-13,2025-12-26,,192,Referral,Jessica Martinez,Vision System,None,Follow up meeting,Prospecting stage opportunity
OPP-000123,Company 6604,Mobile Robot Platform - 270,Proposal,60,928834.66,557300.8,2025-02-07,2025-11-08,,257,Referral,Jessica Martinez,Control Software License,None,Follow up meeting,"Meeting Notes (3/15/24):
Met with John Chen (CTO) and Sarah Miller (Plant Manager) to review vision system requirements for their automotive parts inspection line. Customer needs to achieve 99.9% defe"
OPP-000124,Company 6320,Control Software License - 643,Needs Analysis,40,1076308.48,430523.39,2025-01-29,2025-11-26,,266,Website,Chris Patel,Industrial Robot System,None,Follow up meeting,Needs Analysis stage opportunity
OPP-000125,Company 3654,Control Software License - 414,Closed Lost,0,1392445.77,0.0,2025-01-19,2025-07-17,2025-07-17,276,Partner,Jessica Martinez,Industrial Robot System,Universal Robots,,"Sales Notes:
Met with CTO Mark Chen and Engineering Director Sarah Williams to discuss Control Software implementation across their 3 manufacturing facilities. Initial technical evaluation was positiv"
OPP-000126,Company 6225,Mobile Robot Platform - 395,Qualification,20,1246613.29,249322.66,2025-03-10,2025-11-11,,226,Trade Show,Chris Patel,Mobile Robot Platform,Universal Robots,Follow up meeting,Qualification stage opportunity
OPP-000127,Company 1074,Control Software License - 465,Closed Won,100,1023986.35,1023986.35,2025-09-20,2025-12-12,2025-12-12,32,Referral,Chris Patel,Industrial Robot System,KUKA,,Closed Won stage opportunity
OPP-000128,Company 1513,Industrial Robot System - 271,Prospecting,10,1791580.92,179158.09,2025-03-21,2025-11-03,,215,Website,Chris Patel,Vision System,None,Follow up meeting,Prospecting stage opportunity
OPP-000129,Company 5688,Collaborative Robot - 591,Closed Lost,0,1077300.77,0.0,2025-02-27,2025-05-29,2025-05-29,237,Referral,Chris Patel,Control Software License,FANUC,,Closed Lost stage opportunity
OPP-000130,Company 1210,Control Software License - 731,Proposal,60,1956318.02,1173790.81,2025-05-01,2025-11-26,,174,Website,David Martinez,Control Software License,None,Follow up meeting,Proposal stage opportunity
OPP-000131,Company 6743,Collaborative Robot - 923,Negotiation,80,1487841.3,1190273.04,2025-05-10,2025-11-14,,165,Referral,David Martinez,Industrial Robot System,Universal Robots,Follow up meeting,Negotiation stage opportunity
OPP-000132,Company 4607,Control Software License - 352,Qualification,20,1776362.24,355272.45,2025-07-25,2025-12-27,,89,Trade Show,Chris Patel,Vision System,Universal Robots,Follow up meeting,"Sales Notes:
Met with Tom Chen (Operations Director) and Sarah Miller (Plant Manager) at their Denver facility. They're looking to automate their automotive parts assembly line to increase output by 4"
OPP-000133,Company 6516,Vision System - 942,Proposal,60,1247977.99,748786.79,2025-01-18,2025-11-01,,277,Trade Show,Jessica Martinez,Mobile Robot Platform,FANUC,Follow up meeting,Proposal stage opportunity
OPP-000134,Company 9704,Control Software License - 752,Needs Analysis,40,76952.6,30781.04,2025-06-10,2025-11-03,,134,Referral,Chris Patel,Industrial Robot System,ABB Robotics,Follow up meeting,"Meeting Notes (2/15/24):
Met with Tom Chen (Dir. of Operations) and Sarah Miller (Engineering Lead) to discuss their automated material handling needs. They're looking to deploy 3-4 mobile robots in t"
OPP-000135,Company 3916,Collaborative Robot - 374,Prospecting,10,353453.56,35345.36,2025-07-20,2026-01-08,,94,Website,Jessica Martinez,Control Software License,ABB Robotics,Follow up meeting,"MEETING NOTES - Call with Sarah Chen (CTO) and Mark Davidson (Engineering Manager)
Initial discussion around their current manufacturing line automation challenges. Team is struggling with legacy cont"
OPP-000136,Company 8020,Vision System - 866,Negotiation,80,753756.12,603004.89,2024-11-10,2025-11-18,,346,Partner,Chris Patel,Control Software License,KUKA,Follow up meeting,Negotiation stage opportunity
OPP-000137,Company 5860,Vision System - 284,Closed Lost,0,1174279.56,0.0,2025-02-09,2025-03-24,2025-03-24,255,Cold Call,Chris Patel,Collaborative Robot,KUKA,,Closed Lost stage opportunity
OPP-000138,Company 2922,Control Software License - 432,Closed Won,100,842322.51,842322.51,2025-07-17,2025-09-19,2025-09-19,97,Cold Call,David Martinez,Vision System,ABB Robotics,,"OPPORTUNITY NOTES:
Met with CTO Dave Miller and Operations Director Sarah Chen to finalize mobile robot platform deployment across their Dallas facility. Customer requires 6 MR-750 units with custom p"
OPP-000139,Company 6188,Control Software License - 347,Closed Lost,0,1614262.75,0.0,2025-03-23,2025-09-02,2025-09-02,213,Website,Jessica Martinez,Control Software License,Universal Robots,,"OPPORTUNITY NOTES:
Met with Tom Chen (CTO) and Sarah Williams (Dir. of Operations) to discuss their automated material handling needs. Customer required 12 mobile robots for their new distribution cen"
OPP-000140,Company 2712,Industrial Robot System - 683,Closed Won,100,168790.82,168790.82,2025-09-06,2025-11-17,2025-11-17,46,Referral,Chris Patel,Vision System,Universal Robots,,"OPPORTUNITY NOTES:
Met with VP of Operations Tom Chen and Plant Manager Sarah Williams to finalize RX-3000 cobot implementation for their automotive parts assembly line. Customer's main pain points we"
OPP-000141,Company 5869,Vision System - 720,Negotiation,80,503117.4,402493.92,2025-08-16,2025-11-05,,67,Cold Call,Jessica Martinez,Industrial Robot System,ABB Robotics,Follow up meeting,Negotiation stage opportunity
OPP-000142,Company 6932,Control Software License - 499,Proposal,60,43827.3,26296.38,2025-05-18,2025-11-28,,157,Referral,David Martinez,Industrial Robot System,FANUC,Follow up meeting,Proposal stage opportunity
OPP-000143,Company 7517,Mobile Robot Platform - 297,Qualification,20,1970566.34,394113.27,2025-10-18,2025-11-20,,4,Website,Jessica Martinez,Control Software License,FANUC,Follow up meeting,Qualification stage opportunity
OPP-000144,Company 3556,Industrial Robot System - 437,Proposal,60,1656021.51,993612.9,2025-04-25,2025-11-04,,180,Partner,Jessica Martinez,Collaborative Robot,FANUC,Follow up meeting,Proposal stage opportunity
OPP-000145,Company 3098,Vision System - 320,Qualification,20,1332480.87,266496.17,2025-04-20,2025-10-24,,185,Cold Call,Chris Patel,Control Software License,KUKA,Follow up meeting,Qualification stage opportunity
OPP-000146,Company 4484,Mobile Robot Platform - 854,Closed Won,100,165563.34,165563.34,2025-07-04,2025-10-22,2025-10-22,110,Partner,Jessica Martinez,Mobile Robot Platform,KUKA,,"Sales Notes:
Met with John Chen (Operations Director) and Sarah Miller (Plant Manager) to finalize deployment plans for 3 CR-5000 collaborative robots at their Cincinnati facility. Customer's main pai"
OPP-000147,Company 8088,Vision System - 389,Closed Lost,0,416559.26,0.0,2025-05-11,2025-08-20,2025-08-20,164,Partner,David Martinez,Vision System,None,,"Final Opportunity Notes:
Customer required vision system for quality inspection of automotive parts. Initial demos showed strong alignment with technical requirements. Key decision makers expressed co"
OPP-000148,Company 9656,Industrial Robot System - 116,Closed Lost,0,1080766.29,0.0,2024-12-15,2025-03-09,2025-03-09,311,Referral,Chris Patel,Control Software License,None,,"Sales Notes:
Met with John Chen (COO) and Sarah Martinez (Head of Manufacturing) to discuss implementation of 6 collaborative robots for their automotive parts assembly line. Main pain points were pro"
OPP-000149,Company 3953,Industrial Robot System - 518,Negotiation,80,1518075.15,1214460.12,2024-12-02,2025-11-19,,324,Website,Chris Patel,Mobile Robot Platform,None,Follow up meeting,Negotiation stage opportunity
OPP-000150,Company 4266,Collaborative Robot - 667,Qualification,20,863287.91,172657.58,2024-11-13,2025-10-31,,343,Website,David Martinez,Collaborative Robot,None,Follow up meeting,Qualification stage opportunity
OPP-000151,Company 4061,Control Software License - 359,Negotiation,80,80160.04,64128.03,2025-01-04,2025-11-13,,291,Trade Show,David Martinez,Mobile Robot Platform,Universal Robots,Follow up meeting,Negotiation stage opportunity
OPP-000152,Company 4255,Vision System - 438,Prospecting,10,779310.83,77931.08,2025-09-19,2025-10-22,,33,Partner,David Martinez,Mobile Robot Platform,ABB Robotics,Follow up meeting,Prospecting stage opportunity
OPP-000153,Company 8114,Mobile Robot Platform - 400,Proposal,60,1023272.21,613963.33,2025-08-08,2025-11-10,,75,Website,David Martinez,Mobile Robot Platform,None,Follow up meeting,"Sales Notes:
Met with John Chen (CTO) and Sarah Miller (Operations Director) to review technical specs for the RX-500 mobile platform deployment. Client requires 12 units for their new manufacturing f"
OPP-000154,Company 9441,Industrial Robot System - 526,Closed Lost,0,1910305.09,0.0,2024-11-19,2025-01-06,2025-01-06,337,Website,David Martinez,Collaborative Robot,KUKA,,Closed Lost stage opportunity
OPP-000155,Company 3718,Mobile Robot Platform - 909,Proposal,60,597166.36,358299.82,2025-01-26,2025-11-13,,269,Cold Call,Chris Patel,Industrial Robot System,Universal Robots,Follow up meeting,Proposal stage opportunity
OPP-000156,Company 1984,Collaborative Robot - 256,Closed Won,100,1463282.77,1463282.77,2025-09-08,2025-11-19,2025-11-19,44,Trade Show,David Martinez,Vision System,Universal Robots,,Closed Won stage opportunity
OPP-000157,Company 5323,Vision System - 909,Prospecting,10,1507235.08,150723.51,2024-12-03,2025-11-02,,323,Partner,Chris Patel,Industrial Robot System,None,Follow up meeting,Prospecting stage opportunity
OPP-000158,Company 2150,Mobile Robot Platform - 196,Proposal,60,1622777.67,973666.6,2024-12-24,2025-11-13,,302,Trade Show,David Martinez,Control Software License,KUKA,Follow up meeting,Proposal stage opportunity
OPP-000159,Company 8882,Vision System - 231,Closed Won,100,1087320.09,1087320.09,2025-02-17,2025-08-04,2025-08-04,247,Website,Chris Patel,Industrial Robot System,Universal Robots,,"Sales Notes:
Met with John Chen (VP Operations) and Sarah Miller (Plant Manager) to finalize Vision System deployment across their 3 manufacturing facilities. Key decision factors were 40% reduction i"
OPP-000160,Company 5248,Vision System - 522,Proposal,60,1533783.16,920269.9,2025-02-02,2025-10-25,,262,Referral,Chris Patel,Industrial Robot System,ABB Robotics,Follow up meeting,Proposal stage opportunity
OPP-000161,Company 5692,Vision System - 165,Qualification,20,1442184.45,288436.89,2025-07-10,2025-12-25,,104,Referral,Chris Patel,Industrial Robot System,FANUC,Follow up meeting,"Sales Notes:
Met with John Chen (Plant Manager) and Sarah Rodriguez (Automation Engineer) to discuss their current quality inspection challenges. Plant experiencing 12% defect rate on automotive parts"
OPP-000162,Company 7278,Vision System - 302,Qualification,20,1764139.35,352827.87,2025-05-27,2025-11-27,,148,Partner,Chris Patel,Control Software License,ABB Robotics,Follow up meeting,Qualification stage opportunity
OPP-000163,Company 5815,Vision System - 600,Closed Won,100,1294000.7,1294000.7,2025-06-25,2025-08-12,2025-08-12,119,Referral,David Martinez,Control Software License,ABB Robotics,,Closed Won stage opportunity
OPP-000164,Company 5665,Vision System - 659,Proposal,60,1770366.93,1062220.16,2025-02-06,2025-11-16,,258,Website,Jessica Martinez,Collaborative Robot,None,Follow up meeting,"MEETING NOTES - 3/15/24
Met with Tom Chen (CTO) and Sarah Mills (Operations Director) to review technical specifications and deployment timeline. Customer requires 12 autonomous mobile robots for thei"
OPP-000165,Company 8368,Collaborative Robot - 679,Needs Analysis,40,672471.69,268988.68,2025-06-30,2025-12-04,,114,Trade Show,Jessica Martinez,Industrial Robot System,ABB Robotics,Follow up meeting,Needs Analysis stage opportunity
OPP-000166,Company 9836,Collaborative Robot - 260,Negotiation,80,1358904.91,1087123.93,2024-12-06,2025-10-22,,320,Trade Show,David Martinez,Control Software License,FANUC,Follow up meeting,Negotiation stage opportunity
OPP-000167,Company 3387,Vision System - 332,Negotiation,80,374108.19,299286.55,2025-02-24,2025-11-13,,240,Referral,Chris Patel,Collaborative Robot,FANUC,Follow up meeting,Negotiation stage opportunity
OPP-000168,Company 4785,Control Software License - 971,Closed Lost,0,1920391.14,0.0,2025-10-03,2026-02-15,2026-02-15,19,Cold Call,Chris Patel,Mobile Robot Platform,Universal Robots,,Closed Lost stage opportunity
OPP-000169,Company 4339,Mobile Robot Platform - 217,Qualification,20,746559.29,149311.86,2025-08-21,2025-11-10,,62,Website,Jessica Martinez,Collaborative Robot,KUKA,Follow up meeting,Qualification stage opportunity
OPP-000170,Company 2818,Control Software License - 219,Proposal,60,503008.08,301804.85,2025-08-22,2025-11-24,,61,Referral,David Martinez,Collaborative Robot,KUKA,Follow up meeting,"MEETING NOTES - 4/15/23
Met with John Chen (Operations Dir) and Sarah Miller (Plant Mgr) to review collaborative robot specs for their automotive parts assembly line. Customer emphasized need for safe"
OPP-000171,Company 8750,Vision System - 603,Qualification,20,285452.26,57090.45,2024-12-04,2025-11-04,,322,Website,David Martinez,Industrial Robot System,KUKA,Follow up meeting,Qualification stage opportunity
OPP-000172,Company 7993,Collaborative Robot - 744,Closed Lost,0,1025708.64,0.0,2025-04-29,2025-08-23,2025-08-23,176,Partner,Jessica Martinez,Industrial Robot System,Universal Robots,,Closed Lost stage opportunity
OPP-000173,Company 3246,Vision System - 528,Needs Analysis,40,367161.21,146864.48,2024-12-07,2025-11-25,,319,Cold Call,Chris Patel,Collaborative Robot,KUKA,Follow up meeting,"Meeting Notes - Robotix Opportunity
Date: 10/14/23

Met with John Chen (Operations Director) and Sarah Martinez (Plant Manager) to discuss automation needs for their automotive parts assembly line. Cu"
OPP-000174,Company 1917,Mobile Robot Platform - 215,Prospecting,10,1745604.58,174560.46,2025-08-29,2025-11-20,,54,Referral,Jessica Martinez,Mobile Robot Platform,None,Follow up meeting,Prospecting stage opportunity
OPP-000175,Company 7452,Vision System - 742,Proposal,60,1891247.05,1134748.23,2024-12-31,2025-11-27,,295,Partner,Chris Patel,Industrial Robot System,FANUC,Follow up meeting,"MEETING NOTES (4/15/23):
Met with Tom Chen (CTO) and Sarah Martinez (Dir. of Operations) to review technical requirements for the RX-500 mobile platform deployment. Customer requires 12 units for thei"
OPP-000176,Company 2110,Collaborative Robot - 743,Qualification,20,1613170.83,322634.17,2025-02-02,2025-11-03,,262,Website,Jessica Martinez,Control Software License,FANUC,Follow up meeting,"OPPORTUNITY NOTES:
Met with John Chen (Dir. of Operations) and Sarah Miller (Head of Automation) to discuss their warehouse automation needs. They're looking to deploy 12 autonomous mobile robots for "
OPP-000177,Company 6800,Collaborative Robot - 517,Qualification,20,766567.58,153313.52,2025-10-09,2025-11-28,,13,Referral,Jessica Martinez,Control Software License,None,Follow up meeting,Qualification stage opportunity
OPP-000178,Company 9086,Mobile Robot Platform - 501,Closed Won,100,1369157.29,1369157.29,2025-02-06,2025-04-15,2025-04-15,258,Partner,Jessica Martinez,Collaborative Robot,KUKA,,Closed Won stage opportunity
OPP-000179,Company 7243,Vision System - 146,Closed Won,100,1132113.82,1132113.82,2025-07-03,2025-11-16,2025-11-16,111,Cold Call,David Martinez,Vision System,KUKA,,Closed Won stage opportunity
OPP-000180,Company 4177,Vision System - 351,Closed Won,100,1833236.41,1833236.41,2024-12-07,2025-04-26,2025-04-26,319,Trade Show,Jessica Martinez,Control Software License,None,,Closed Won stage opportunity
OPP-000181,Company 6175,Mobile Robot Platform - 660,Needs Analysis,40,415312.27,166124.91,2025-01-05,2025-12-13,,290,Partner,David Martinez,Mobile Robot Platform,FANUC,Follow up meeting,Needs Analysis stage opportunity
OPP-000182,Company 6326,Mobile Robot Platform - 285,Closed Won,100,1537233.43,1537233.43,2025-03-21,2025-08-21,2025-08-21,215,Partner,Chris Patel,Industrial Robot System,None,,Closed Won stage opportunity
OPP-000183,Company 2495,Collaborative Robot - 742,Qualification,20,1668523.11,333704.62,2025-05-28,2025-11-05,,147,Partner,Jessica Martinez,Vision System,None,Follow up meeting,Qualification stage opportunity
OPP-000184,Company 6615,Mobile Robot Platform - 600,Proposal,60,1490312.15,894187.29,2025-01-19,2025-10-23,,276,Referral,Jessica Martinez,Control Software License,Universal Robots,Follow up meeting,Proposal stage opportunity
OPP-000185,Company 1049,Mobile Robot Platform - 985,Qualification,20,448876.31,89775.26,2025-06-19,2025-11-02,,125,Website,Chris Patel,Mobile Robot Platform,FANUC,Follow up meeting,"Sales Notes:
Met with John Chen (Plant Manager) and Sarah Miller (Automation Engineer) to discuss their vision system needs. Plant currently running at 82% efficiency due to quality control issues on "
OPP-000186,Company 3535,Mobile Robot Platform - 176,Negotiation,80,851164.61,680931.68,2024-12-22,2025-11-14,,304,Trade Show,Jessica Martinez,Control Software License,FANUC,Follow up meeting,Negotiation stage opportunity
OPP-000187,Company 8579,Collaborative Robot - 453,Proposal,60,190926.15,114555.69,2025-01-07,2025-10-26,,288,Referral,David Martinez,Collaborative Robot,None,Follow up meeting,Proposal stage opportunity
OPP-000188,Company 4561,Control Software License - 371,Closed Lost,0,1375117.65,0.0,2025-08-03,2025-11-08,2025-11-08,80,Cold Call,Jessica Martinez,Mobile Robot Platform,Universal Robots,,"Sales Notes:
Initial engagement with Operations Director Mark Chen regarding 8 collaborative robots for their Milwaukee facility automation project. Primary requirements included safety compliance, 24"
OPP-000189,Company 5322,Vision System - 326,Needs Analysis,40,483532.06,193412.82,2024-11-20,2025-11-07,,336,Referral,Chris Patel,Industrial Robot System,KUKA,Follow up meeting,Needs Analysis stage opportunity
OPP-000190,Company 4647,Vision System - 138,Negotiation,80,1159683.81,927747.05,2025-09-04,2025-11-21,,48,Partner,Chris Patel,Collaborative Robot,Universal Robots,Follow up meeting,Negotiation stage opportunity
OPP-000191,Company 6802,Control Software License - 383,Prospecting,10,1055465.16,105546.52,2025-05-18,2025-12-03,,157,Website,David Martinez,Vision System,Universal Robots,Follow up meeting,Prospecting stage opportunity
OPP-000192,Company 2757,Control Software License - 188,Proposal,60,273118.61,163871.16,2025-07-27,2025-11-05,,87,Cold Call,Chris Patel,Industrial Robot System,KUKA,Follow up meeting,Proposal stage opportunity
OPP-000193,Company 6428,Industrial Robot System - 747,Needs Analysis,40,1987883.55,795153.42,2025-10-20,2025-12-17,,2,Referral,David Martinez,Mobile Robot Platform,ABB Robotics,Follow up meeting,Needs Analysis stage opportunity
OPP-000194,Company 7444,Control Software License - 216,Qualification,20,1748855.54,349771.11,2025-07-02,2025-11-23,,112,Partner,Jessica Martinez,Industrial Robot System,Universal Robots,Follow up meeting,Qualification stage opportunity
OPP-000195,Company 6777,Collaborative Robot - 927,Needs Analysis,40,411500.84,164600.34,2025-06-29,2025-11-19,,115,Cold Call,Chris Patel,Industrial Robot System,ABB Robotics,Follow up meeting,Needs Analysis stage opportunity
OPP-000196,Company 6432,Industrial Robot System - 984,Needs Analysis,40,1893277.1,757310.84,2025-10-05,2025-12-02,,17,Trade Show,Chris Patel,Industrial Robot System,None,Follow up meeting,"MEETING NOTES - 3/15/24
Met with John Chen (Operations Director) and Sarah Miller (Plant Manager) to discuss automation needs for their Dallas facility. Primary pain points: 30% production bottleneck "
OPP-000197,Company 5635,Industrial Robot System - 914,Closed Won,100,1146043.46,1146043.46,2025-05-31,2025-08-03,2025-08-03,144,Website,David Martinez,Vision System,FANUC,,"Sales Notes:
Met with John Chen (CTO) and Sarah Martinez (Head of Operations) to finalize the enterprise-wide control software implementation. Customer requires 250 licenses for their automated assemb"
OPP-000198,Company 7148,Vision System - 887,Prospecting,10,1777058.13,177705.81,2025-03-21,2025-10-29,,215,Partner,Jessica Martinez,Mobile Robot Platform,FANUC,Follow up meeting,Prospecting stage opportunity
OPP-000199,Company 9877,Control Software License - 918,Negotiation,80,85013.16,68010.53,2024-11-05,2025-11-07,,351,Cold Call,Chris Patel,Vision System,Universal Robots,Follow up meeting,Negotiation stage opportunity
OPP-000200,Company 8083,Mobile Robot Platform - 696,Proposal,60,1991840.5,1195104.3,2025-04-27,2025-11-24,,178,Trade Show,David Martinez,Collaborative Robot,KUKA,Follow up meeting,Proposal stage opportunity
