feedback_id,product_name,feedback_type,title,description,submitted_date,submitted_by,customer_segment,status,priority,votes,assigned_to,target_release,sentiment
FB-00129,Predictive Maintenance AI,Usability Feedback,Usability Feedback #129,"The current calibration process for Vision System Pro takes too long when switching between different product lines. While the accuracy is excellent, having to perform a full 12-point calibration each",2024-12-26,Sales Rep,SMB,Under Review,High,51,Rachel Green,,Negative
FB-00130,Vision System Pro,Feature Request,Feature Request #130,"We've been using Robotix's predictive maintenance system across our manufacturing line, but we need better integration with legacy equipment sensors. Currently, we have to manually input data from our",2025-04-29,Sales Rep,Startup,Planned,High,54,Marcus Johnson,5.1.0,Neutral
FB-00131,Vision System Pro,Usability Feedback,Usability Feedback #131,"The current fleet management dashboard works well for monitoring individual robots, but we desperately need better tools for managing robot groups and zones. When coordinating 20+ AMRs across multiple",2025-08-23,Sales Rep,SMB,Declined,High,140,,,Neutral
FB-00132,Predictive Maintenance AI,Feature Request,Feature Request #132,Feature Request for Predictive Maintenance AI,2025-02-05,Email,Startup,New,High,54,,,Negative
FB-00133,RobotOS Control Suite,Feature Request,Feature Request #133,"Feature Request: Cross-Platform Mobile App for Real-Time Robot Status

It would be extremely helpful to have a dedicated mobile app (iOS/Android) for monitoring our robot fleet on the go. The current ",2025-08-21,Support Ticket,Startup,In Development,High,96,Rachel Green,5.5.0,Neutral
FB-00134,Fleet Management Platform,Feature Request,Feature Request #134,Feature Request for Fleet Management Platform,2025-01-21,Email,SMB,Completed,High,133,Nicole Sanders,,Positive
FB-00135,Fleet Management Platform,Bug Report,Bug Report #135,Bug Report for RobotOS Control Suite,2025-09-02,Email,Enterprise,Completed,High,118,Nicole Sanders,,Positive
FB-00136,Fleet Management Platform,Bug Report,Bug Report #136,Bug Report for RobotOS Control Suite,2024-12-14,Email,SMB,In Development,Medium,46,Rachel Green,6.2.0,Negative
FB-00137,Vision System Pro,Bug Report,Bug Report #137,Bug Report for Predictive Maintenance AI,2024-12-24,Sales Rep,Startup,In Development,High,72,Rachel Green,5.5.0,Neutral
FB-00138,Vision System Pro,Performance Issue,Performance Issue #138,Performance Issue for RobotOS Control Suite,2025-06-03,Email,Startup,Completed,High,108,Nicole Sanders,,Neutral
FB-00139,Fleet Management Platform,Compliment,Compliment #139,Compliment for RobotOS Control Suite,2025-03-25,Sales Rep,Enterprise,Planned,Medium,31,Rachel Green,4.0.0,Neutral
FB-00140,Fleet Management Platform,Compliment,Compliment #140,Compliment for RobotOS Control Suite,2025-03-10,Support Ticket,SMB,Under Review,High,108,Marcus Johnson,,Positive
FB-00141,Vision System Pro,Performance Issue,Performance Issue #141,Performance Issue for RobotOS Control Suite,2025-10-20,Customer Portal,Enterprise,Declined,Low,8,,,Negative
FB-00142,Fleet Management Platform,Usability Feedback,Usability Feedback #142,"The Vision System Pro's detection accuracy is generally good, but we're experiencing false positives when dealing with reflective metal parts on our assembly line, especially during afternoon shifts w",2025-07-27,Customer Portal,Enterprise,New,Low,4,,,Positive
FB-00143,Vision System Pro,Compliment,Compliment #143,Compliment for Fleet Management Platform,2025-03-18,Customer Portal,SMB,Completed,Low,10,Rachel Green,,Positive
FB-00144,Fleet Management Platform,Performance Issue,Performance Issue #144,"The current fleet management dashboard becomes extremely sluggish when monitoring more than 50 robots simultaneously. Load times for status updates can take up to 15 seconds, and the real-time locatio",2025-06-19,Sales Rep,SMB,New,High,129,,,Negative
FB-00145,Fleet Management Platform,Feature Request,Feature Request #145,Feature Request for Vision System Pro,2024-10-31,Email,Startup,Planned,High,96,Emily Thompson,4.4.0,Neutral
FB-00146,Predictive Maintenance AI,Performance Issue,Performance Issue #146,"The Vision System Pro's frame rate drops significantly when running multiple inspection sequences simultaneously. We're currently operating 3 production lines with 6 inspection points each, and the sy",2025-03-01,Email,Startup,Planned,Low,4,Rachel Green,3.0.0,Positive
FB-00147,Predictive Maintenance AI,Usability Feedback,Usability Feedback #147,"The current alert thresholds in the predictive maintenance system are too rigid. While we appreciate the ability to set static warning levels for equipment parameters, our production environment requi",2024-11-21,Support Ticket,SMB,Planned,High,149,Marcus Johnson,3.4.0,Positive
FB-00148,Fleet Management Platform,Performance Issue,Performance Issue #148,Performance Issue for Predictive Maintenance AI,2025-10-08,Email,SMB,In Development,High,130,Marcus Johnson,5.1.0,Negative
FB-00149,Vision System Pro,Feature Request,Feature Request #149,Feature Request for RobotOS Control Suite,2025-01-30,Sales Rep,SMB,Planned,Medium,24,Marcus Johnson,6.1.0,Positive
FB-00150,Predictive Maintenance AI,Compliment,Compliment #150,The fleet management dashboard has been a game-changer for our warehouse operations. Being able to monitor all 12 AMRs in real-time and get predictive maintenance alerts has reduced our robot downtime,2025-08-16,Support Ticket,SMB,Planned,High,145,Marcus Johnson,6.4.0,Negative
